"cluster_id","cluster_name","district_id","district_name","block_id","block_name","geo_cluster_id","geo_cluster_name","school_id","school_name","total_allocated","students_reviewed","gujarati_udayman","gujarati_pragatishil","gujarati_nipun","maths_udayman","maths_pragatishil","maths_nipun"
"2407120001",ADARSH PRI.SCHOOL,"2407",AHMEDABAD,"240712",AMC,"2407120001",ADARSH PRI.SCHOOL,"24070609710",VASTRAL PRI.SCHOOL,489,60,9,38,13,10,38,12
"2407120002",AMBALI PRIMARY SCHOOL,"2407",AHMEDABAD,"240712",AMC,"2407120002",AMBALI PRIMARY SCHOOL,"24070600101",AMBALI PRIMARY SCHOOL,436,60,15,19,26,11,23,26
"2407120003",AMBIKA HINDI SCHOOL NO-1,"2407",AHMEDABAD,"240712",AMC,"2407120003",AMBIKA HINDI SCHOOL NO-1,"24071203509",G.I.D.C. ODHAV HINDI SCHOOL NO - 1,671,1,0,1,0,0,0,1
"2407120004",AMRAIWADI-16,"2407",AHMEDABAD,"240712",AMC,"2407120004",AMRAIWADI-16,"24071204103",AMRAIWADI-14,337,60,9,28,23,9,25,26
"2407120005",AMRAIWADI GUJ-7,"2407",AHMEDABAD,"240712",AMC,"2407120005",AMRAIWADI GUJ-7,"24071203204",AMRAIWADI - 6,345,59,6,17,36,5,17,37
"2407120008",AMRAIWADI-H.9,"2407",AHMEDABAD,"240712",AMC,"2407120008",AMRAIWADI-H.9,"24071203610",AMRAIWADI HINDI - 1,380,0,0,0,0,0,0,0
"2407120006",AMRAIWADI HINDI-4,"2407",AHMEDABAD,"240712",AMC,"2407120006",AMRAIWADI HINDI-4,"24071203211",AMRAIWADI HINDI - 7,494,0,0,0,0,0,0,0
"2407120007",AMRAIWADI PUBLIC SCHOOL,"2407",AHMEDABAD,"240712",AMC,"2407120007",AMRAIWADI PUBLIC SCHOOL,"24074100038",ADINATHNAGAR PUBLIC SCHOOL,468,0,0,0,0,0,0,0
"2407120009",ASARWA-11,"2407",AHMEDABAD,"240712",AMC,"2407120009",ASARWA-11,"24071202013",MEGHANINAGAR - 4,371,60,16,29,15,17,25,18
"2407120010",ASARWA HINDI-1,"2407",AHMEDABAD,"240712",AMC,"2407120010",ASARWA HINDI-1,"24071201819",ASARWA HINDI 8,224,0,0,0,0,0,0,0
"2407120011",ASARWA PRI SCHOOL-3,"2407",AHMEDABAD,"240712",AMC,"2407120011",ASARWA PRI SCHOOL-3,"24071201915",ASARWA - 20,435,60,30,24,6,28,26,6
"2407120012",BADRABAD PRIMARY SCHOOL,"2407",AHMEDABAD,"240712",AMC,"2407120012",BADRABAD PRIMARY SCHOOL,"24070600503",BADRABAD (NARI) PRI SCHOOL,140,54,12,25,17,9,23,22
"2407120013",BAHERAMPURA-11,"2407",AHMEDABAD,"240712",AMC,"2407120013",BAHERAMPURA-11,"24071203902",BAHERAMPURA-2,404,60,12,40,8,11,34,15
"2407120014",BAHERAMPURA-13,"2407",AHMEDABAD,"240712",AMC,"2407120014",BAHERAMPURA-13,"24071204014",CHANDOLA GUJ SCH 2,863,60,23,30,7,19,33,8
"2407120015",BAHERAMPURA-17,"2407",AHMEDABAD,"240712",AMC,"2407120015",BAHERAMPURA-17,"24071203939",BAHERAMPURA SCHOOL NO. 23,633,60,6,28,26,4,23,33
"2407120016",BAPUNAGAR-16,"2407",AHMEDABAD,"240712",AMC,"2407120016",BAPUNAGAR-16,"24071202810",BAPUNAGAR - 13,409,59,9,21,29,12,20,27
"2407120017",BAPUNAGAR-5,"2407",AHMEDABAD,"240712",AMC,"2407120017",BAPUNAGAR-5,"24071202236",SARASPUR GUJ -26,497,60,6,18,36,5,20,35
"2407120018",BAPUNAGAR HINDI-8,"2407",AHMEDABAD,"240712",AMC,"2407120018",BAPUNAGAR HINDI-8,"24071202911",SARASPUR HINDI - 2,420,0,0,0,0,0,0,0
"2407120019",CHANDKHEDA PRI. SCHOOL,"2407",AHMEDABAD,"240712",AMC,"2407120019",CHANDKHEDA PRI. SCHOOL,"24060201701",CHANDKHEDA PAGAR KENDRA SHALA,315,60,17,18,25,19,15,26
"2407120020",CHHARODI PRI.SCHOOL,"2407",AHMEDABAD,"240712",AMC,"2407120020",CHHARODI PRI.SCHOOL,"24070603701",JAGATPUR  PRI.SCHOOL,185,57,12,24,21,10,24,23
"2407120021",DANLIMDA-1,"2407",AHMEDABAD,"240712",AMC,"2407120021",DANLIMDA-1,"24071204004",DANILIMDA-4,583,60,11,23,26,9,24,27
"2407120022",DUDHESHWAR-6,"2407",AHMEDABAD,"240712",AMC,"2407120022",DUDHESHWAR-6,"24071201701",SHAHIBAUG - 1,291,60,17,22,21,14,22,24
"2407120023",DUDHESHWAR- HINDI-1,"2407",AHMEDABAD,"240712",AMC,"2407120023",DUDHESHWAR- HINDI-1,"24071201110",NARANPURA HINDI 3,227,0,0,0,0,0,0,0
"2407120024",ELISBRIDGE SCHOOL NO-12,"2407",AHMEDABAD,"240712",AMC,"2407120024",ELISBRIDGE SCHOOL NO-12,"24071200930",ELISBRIDGE - 30,452,60,14,29,17,13,24,23
"2407120025",ELISBRIDGE SCHOOL NO-4,"2407",AHMEDABAD,"240712",AMC,"2407120025",ELISBRIDGE SCHOOL NO-4,"24071200901",ELISBRIDGE - 17,133,60,25,30,5,20,29,11
"2407120026",ELLISBRIDGE  SCHOOL NO-2,"2407",AHMEDABAD,"240712",AMC,"2407120026",ELLISBRIDGE  SCHOOL NO-2,"24071201003",ELISBRIDGE - 8,381,60,21,23,16,21,24,15
"2407120027",GHATLODIYA PRIMARY SCHOOL NO-2,"2407",AHMEDABAD,"240712",AMC,"2407120027",GHATLODIYA PRIMARY SCHOOL NO-2,"24070500117",CHANDLODIYA PRIMARY SCHOOL,731,60,13,24,23,10,25,25
"2407120028",GOTA PRI.SCHOOL,"2407",AHMEDABAD,"240712",AMC,"2407120028",GOTA PRI.SCHOOL,"24070607702",GOTA HOUSING PRI.SCHOOL,515,60,7,28,25,5,28,27
"2407120029",GYASPUR PRIMARY SCHOOL,"2407",AHMEDABAD,"240712",AMC,"2407120029",GYASPUR PRIMARY SCHOOL,"24070500901",PIPLAJ PRIMARY SCHOOL,455,60,15,25,20,10,27,23
"2407120030",HANSOL GUJ SH NO-1,"2407",AHMEDABAD,"240712",AMC,"2407120030",HANSOL GUJ SH NO-1,"24071202402",HANSOL  GUJ SH NO-2,467,60,0,19,41,0,20,40
"2407120031",ISHANPUR PUBLIC SCHOOL-1,"2407",AHMEDABAD,"240712",AMC,"2407120031",ISHANPUR PUBLIC SCHOOL-1,"24071205518",ISHANPUR PUBLIC SCHOOL NO. 2,1852,60,40,15,5,37,19,4
"2407120032",JAHANGIRPURA GUJ-1,"2407",AHMEDABAD,"240712",AMC,"2407120032",JAHANGIRPURA GUJ-1,"24071201807",JAHANGIRPURA GUJ - 1,252,60,18,28,14,15,32,13
"2407120033",JAMALPUR PRIMARY SCHOOL-4,"2407",AHMEDABAD,"240712",AMC,"2407120033",JAMALPUR PRIMARY SCHOOL-4,"24071200509",BAHERAMPURA-5,132,60,32,27,1,28,32,0
"2407120034",JAMALPUR URDU-4,"2407",AHMEDABAD,"240712",AMC,"2407120034",JAMALPUR URDU-4,"24071203921",BAHERAMPURA URDU-6,224,0,0,0,0,0,0,0
"2407120035",JASODANAGAR GUJARATI-1,"2407",AHMEDABAD,"240712",AMC,"2407120035",JASODANAGAR GUJARATI-1,"24071204202",JASODANAGAR GUJARTI-2,571,60,12,21,27,12,23,25
"2407120036",JODHPUR PRIMARY SCHOOL-2,"2407",AHMEDABAD,"240712",AMC,"2407120036",JODHPUR PRIMARY SCHOOL-2,"24070500410",JODHPUR PRIMARY SCHOOL - 1,374,60,24,30,6,27,28,5
